Mode of Demise,Murder,Victim,Perpetrator
struck by lightning,yes,Persephone,Zeus
starvation,yes,mortals,Persephone
drowning,no,Original Character,---
tearing to pieces,yes,Orpheus,Maenads
slaying,yes,some mortal boy,Ares
slaying,yes,Talos,Deadalus
vaporising,yes,five nymphs,Athena
child birth,no,Diomede,
unspecified,yes,Naucrate,unnamed
unspecified,yes,Niobe's children,Artemis
unspecified,no,Meganeira,
chopping into pieces,yes,Tantalus' child,Tantalus
unspecified,unspecified,Bellerophon,
manipulation,yes,unsavoury brutes,Smilax
drowning,no,Crocus' grandfather,
burning,yes,Aristodamia and her handsome lover,Hera
unspecified,yes,Hyacinthus,unnamed
discus,no,Hyacinthus,
skydiving,no,Icarus,
discus,yes,Hyacinthus,Zephyrus
flying to close to the sun,no,Icarus,
flying to close to the sun,no,Icarus,
unspecified,no,Hyacinthus,
unspecified,no,mutiple,---
unspecified,no,Hyacinthus,---
unspecified,no,Hyacinthus (the younger),---
sacrifice,yes,youths and maidens,unnamed
unspecified,unspecified,a young girl,---
unspecified,unspecified,young man and a toddler,---
being eaten,yes,Kronos' children,Kronos
unspecified,yes,unnamed,Aura
being eaten,yes,Aura's children,Aura
unspecified,yes,children,Medea
stabbing,yes,bard,Icarus
curse,yes,Minos' mistresses,Poseidon
stabbing by bull ,yes,Prince Androgeus,Bull
unspecified,yes,Heracles,Megara and his children
sacrifice,yes,seven youths and seven maidens,King Aegeus
struck by lightning,yes,Asclepius,Zeus
slaying,yes,Medusa,unnamed
petrification,yes,Medusa,"unnamed village, unnamed city"
slaying,yes,Hermes,Smilax
suicide,no,---,Smilax
unspecified,yes,Hermes,Smilax
beaten to death,yes,maidservant,Acacallis
unspecified,yes,Acacallis' child,Minos
beaten to death,yes,Acacallis' child,Minos
unspecified,no,Michael Yew's mother,---
unspecified,no,Hyacinthus,---
flying to close to the sun,no,Icarus,---
transformation,yes,Thalia,Zeus
unspecified,yes,Thalia,Hades
slaying,yes,Clardusa,many warriors
stabbing,yes,Clardusa,Villager's wife
petrification,yes,Villager,Clardusa
snake bite,yes,Artemis,Hera
unspecified,no,Leto,---
discus,yes,Hyacinthus,Zephyrus
snake bite,yes,Eurydice,Apollo
snake bite,yes,Eurydice,Apollo
self-sacrifice,yes,Orpheus,Hades
drowning/death by seamonster,yes,unnamed,Scylla
self-sacrifice,yes,Demetrius,Scylla
self-sacrifice,yes,unnamed,Scylla
self-sacrifice,yes,unnamed,Scylla
self-sacrifice,yes,unnamed,Scylla
"manipulation, intercourse, struck by lightning ",yes,Semele,Zeus
petrification,yes,many men,Medusa
slaying,yes,Medusa,thunder's son
unspecified,yes,Klytemnestra's husband and son,Agamemnon
sacrifice,yes,Iphigenia,Agamemnon
stabbing,yes,Agamemnon,Klytemnestra
stabbing,yes,Kassandra,Klytemnestra
"manipulation, looking at a divine aura",yes,Semele,Zeus
unspecified,no,the old queen,---
being choked,yes,Alicent Hightower,Melinoë
unspecified,yes,grandfather,Melinoë
child birth,unspecified,Queen Aemma,---
unspecified,unspecified,Viserys' six children,---
unspecified,yes,"Freya, Atreus, Mimir, Sindri",Kratos
slashing throat,yes,Freya,Kratos
slashing throat,yes,Atreus,Kratos
head crushing,yes,Mimir,Kratos
slashing in half,yes,Sindri,Kratos
unspecified,yes,unspecified,Kratos
slashing/burning,yes,Lysandra,unspecified
stabbing,yes,Kratos,Calliope
slaying,yes,unspecified,unspecified
head crushing,yes,unspecified,unspecified
beheading,yes,unspecified,unspecified
being eaten,yes,unspecified,unspecified gods
snake bite,yes,Proctus,old man
unspecified,unspecified,Arsenios and Proto's father,---
drowning,no,Arsenios,---
suicide,no,Proto,---
beheading,yes,Cerberus,Zeus' guard
unspecified,yes,humans,humans
starvation,yes,farmers,Demeter
being eaten,no,mortals,---
sacrifice,yes,infants,a king of Thebes
illness,yes,mortals,Thanatos
unspecified,yes,mortals,Hypnos
slashing in half,yes,people,ten glowing individuals
stabbing,yes,people,ten glowing individuals
slashing,yes,ten fighters,Ares (implied)
being shot,yes,Hypnos,Artemis
suicide,no,Ares,---
struck by lightning,yes,Hades,Zeus
unspecified,yes,Patroclus,Hector
slaying,yes,Hector,Achilles
being shot,yes,Achaeans,Trojans
stabbing,yes,Achilles' opponents,Achilles
slashing,yes,Achilles' opponents,Achilles
unspecified,yes,a young boy,Achilles
unspecified,yes,Hector,Hector's enemies
unspecified,yes,Patroclus,---
unspecified,yes,The Amazon Queen,Achilles
manipulation,yes,Orion,Apollo
being shot,yes,Orion,Artemis
unspecified,unspecified,A twenty-one year old girl,---
illness,no,Alexander the Great,---
chopping into pieces,yes,Pelops,Tantalus
sacrifice,yes,Iphigeneia,Agamemnon
stabbing,yes,Penthesilea,Achilles
being shot,yes,Achilles,unspecified
vaporising,yes,Plexippus and Toxeus,Meleager
software malfunction,yes,Meleager,Althea
suicide,no,Althea,---
software malfunction/virus,yes,Unnamed Redshirts,Diana Artémiso
unspecified,yes,Hector,Achilles
slaying,yes,Cassandra,Clytaemnestra
slashing throat,yes,Iphigenia,Agamemnon
slaying,yes,Agamemnon,Aegisthus
manipulation,yes,Agamemnon,Clytemnestra
slaying,yes,Agamemnon,Iphigenia
manipulation,yes,Agamemnon,Atropos
suicide,no,Ajax,---
unspecified,yes,the son of Ella Corynthus,Paris
failure to provide assistance,yes,Paris,Oenone
discus,no,Hyacinthus,---
old age,no,Leuce,---
stabbing,yes,Luctus Sine Lumen,a soldier
stabbing,yes,soldier,Novellus
slashed in half,yes,soldier,Novellus
beheading,yes,soldier,Novellus
stabbing,yes,Patroclus,Hector
unspecified,yes,Trojans,Achilles
stabbing,yes,Hector,Achilles
unspecified,yes,heros,Achilles
being shot,yes,Achilles,Apollo
unspecified,yes,Hector,Achilles
unspecified,yes,Troilus,Achilles
unspecified,unspecified,Pyrrhus,---
petrification,yes,villagers,Anithea/Clardusa
beheading,yes,gorgon,Perball
petrification,yes,warriors,Anithea/Clardusa
being choked,yes,Antigone,Ismene's uncle
petrification,yes,Perseus,Medusa
petrification,yes,Theofylaktos,Medusa
unspecified,yes,Heracles' music teacher,Heracles
slashing head off,yes,Hydra,Heracles
being shot,yes,Chiron,Heracles
unspecified,yes,a centaur,Heracles
being shot,yes,a centaur Nesso's,Heracles
snake bite,no,Eurydice,---
unspecified,no,babies,---
tearing to pieces,yes,Orpheus,followers of the Dionysus cult
drought/famine,no,mortals,---
flood,yes,mortals,Zeus
tearing to pieces,yes,Orpheus,Dionysus
unspecified,yes,Antigone,Creon
unspecified,yes,Iphegenia,Clytmnestra's husband
collapsing building,no,Andromache's son,
unspecified,yes,Hecuba's son,a man
sacrifice,yes,unspecified (He),a man
sacrifice,yes,Hecuba,a man
unspecified,yes,Circe,Odysseus
tearing to pieces,yes,unspecified,unspecified
being eaten,yes,unspecified,unspecified
unspecified,yes,Agrippina,Nero
tearing to pieces,yes,a man,satyrs
tearing to pieces,yes,a man,followers of Dionysus
tearing to pieces,yes,Chryssa,followers of Dionysus
unspecified,unspecified,Priam,unspecified
unspecified,unspecified,Hector,unspecified
unspecified,unspecified,Deiphobus,unspecified
unspecified,unspecified,Paris,unspecified
unspecified,unspecified,Antiphus,unspecified
unspecified,unspecified,Pammon,unspecified
unspecified,unspecified,Hipponous,unspecified
unspecified,unspecified,Polydorus,unspecified
unspecified,unspecified,Troilus,unspecified
unspecified,unspecified,Creusa,unspecified
unspecified,unspecified,Polyxena,unspecified
unspecified,unspecified,Coroebus,unspecified
slaying,yes,Cassandra,Agamemnon's wife
slaying,yes,Agamemnon,Agamemnon's wife
unspecified,yes,Coroebus,unspecified
unspecified,unspecified,Riliane's mother,---
war,yes,people,---
beheading,yes,Riliane/Cassandra,unspecified
suicide,no,Riliane/Cassandra,---
being shot,yes,Antinous,Odysseus
slaying,yes,Eurynomus,Odysseus
being shot,yes,a man,Odysseus
slaying,yes,Astyanax,---
unspecified,yes,Hector,Achilles
unspecified,no,Polydorus,---
unspecified,yes,Polyxena,unspecified
sacrifice,yes,Cassandra's father,Pyrrhus
sacrifice,implied,Polites,Pyrrhus
unspecified,yes,Polyxena,unspecified
slaying,yes,Agamemnon,Agamemnon's wife
slaying,yes,Cassandra,Agamemnon's wife
sacrifice,yes,Iphigenia,Agamemnon
illness,yes,"mortals, young children",Pandora as proxy
unspecified,yes,Lycaon,Zeus
flood,yes,mortals,Zeus
withdrawal,yes,Leuce,Zeus
unspecified,yes,Plutus,Zeus
struck by lightning,yes,Asclepius,Zeus
vaporisation/disintegration,yes,Prometheus,Zeus
cold,unspecified,human women,---
starvation,unspecified,human women,---
illness,unspecified,human women,---
drowning,unspecified,human women,---
self-sacrifice/suicide,no,Chiron,---
unspecified,unspecified,Daphne,---
unspecified,unspecified,Apollo's lover,Apollo
discus,yes,Hyacinthus,Zephyrus
manipulation/intercourse,yes,Glauce,Medea
manipulation/intercourse,yes,Glauce's father,Medea
falling,yes,Patroclus,"Apollo, Hector"
discus,yes,Hyacinthus,Zephyrus
slaying,yes,Belleros,Bellepheron
being eaten,yes,maidans,Belleros
unspecified,yes,Despair,unspecified
unspecified,yes,unspecified,striking miners
hanging,yes,miners,Corrie
slaying,yes,Dixon,Corrie
transformation,yes,Myrrha,Aphrodite
killed by animal,no,Adonis,wild pig
drowning,no,Zagreus,---
burning,yes,Zagreus,titans
tearing to pieces,yes,Zagreus,titans
slaying,yes,Ilona,a man
tearing to pieces,yes,hunters,werewolves
slashing throat,yes,hunters,werewolves
being choked,yes,a hunter,a werewolf
being eaten,yes,Brian,a dragon
beaten to death,yes,her brother,a bird
being eaten,yes,she,a bird
being eaten,yes,Daisy's friends,a troll
intercourse/rape,yes,Daisy,a troll
slashing throat,yes,the embalmer,Kayde and Luanne
being eaten,yes,he,a shark
being eaten,yes,a neighbour,a werewolf neighbour
drowning,yes,unspecified,sea monsters
stabbing,yes,unspecified,angels
burning,no,NN's parents,---
unspecified,unspecified,a doctor,unspecified
unspecified,unspecified,a set of twins,unspecified
unspecified,unspecified,a taxidermist,unspecified
unspecified,unspecified,a camgirl,unspecified
unspecified,unspecified,two of Artemis' maidens,a griffin
discus,no,Hyacinthus,---
transformation,no,Daphne,---
discus,yes,Hyacinthus,Zephyrus
unspecified,yes,a nymph,Orpheus
petrification,yes,a nymph,Orpheus
snake bite/suicide,no,Eurydice,---
disembowelment,yes,Cronos,Zeus
unspecified,yes,mortals,Zeus
clawing to death,yes,Zeus,Hera
tearing to pieces/being eaten,yes,Pentheus,Maenad
sacrifice,yes,Iphigenia,Agamemnon
self-sacrifice/stabbing,no,Cassandra,---
stabbing,yes,Calchas,Cassandra
war,yes,Mynes,---
war,yes,Patroclus,unspecified
war,yes,Achilles,unspecified
being eaten,yes,a man,Medusa's sisters
slashing throat,yes,a faun,Medusa
snake bite,yes,unnamed heroes,Medusa('s snakes)
snake bite,yes,a farmer,Medusa('s snakes)
snake bite,yes,a drunk man,Medusa('s snakes)
snake bite,yes,a man dressed in strange attire,Medusa('s snakes)
being eaten,yes,a man transformed into a stag,wolves
unspecified,unspecified,Philomena's mother,---
unspecified,yes,Kallias,Philomena's father
war,yes,many young souls,---
unspecified,yes,a boy,Patroclus
unspecified,unspecified,Patroclus,---
unspecified,yes,---,Patroclus
implied/unspecified,unspecified,"Philomena's father, Menoiteus",---
war,yes,Cassandra's son,---
unspecified,unspecified,Cassandra's daughter,---
unspecified,unspecified,Cassandra,---
natural desaster,yes,mortals,Apollo
monsters,yes,mortals,Apollo
plague,yes,mortals,Apollo
unspecified,unspecified,Apollo,---
unspecified,unspecified,everyone,---
beheading,yes,Troilus,Achilles
unspecified,yes,unspecified,unspecified
unspecified,yes,unspecified,Achilles
unspecified,unspecified,Polyneices,---
unspecified,unspecified,Polyneices and another brother of Antigone,---
suicide,no,Antigone,---
beheading,yes,Medusa,Perseus
petrification,yes,men,Medusa
being eaten,yes,Perseus,Andromeda
petrification,yes,a priestess,Medusa
petrification,yes,hundreds of men,Medusa
slashing,yes,Medusa,Perseus
unspecified,yes,Agamemnon,Clytaemnestra
stabbing,yes,Agamemnon,Clytaemnestra
stabbing,yes,Agamemnon,Cassandra
slashing throat,yes,Agamemnon,Clytaemnestra
being shot,yes,Kallisto,Artemis
being eaten,yes,Athena's mother,Athena's father
drowning,yes,many people,Poseidon
drowning,yes,whole families,Poseidon
petrification,yes,Medusa,Perseus
hanging,yes,servant,Odysseus
unspecified,yes,suitors,Odysseus
war,yes,unspecified,unspecified
drowning,no,unspecified,unspecified
unspecified,unspecified,Ajax,unspecified
unspecified,unspecified,Achilles,unspecified
unspecified,unspecified,Agamemnon,unspecified
unspecified,unspecified,Odysseus' mother,unspecified
unspecified,unspecified,Eurylochus,unspecified
slaying,yes,Heracles' tutor,Heracles
being eaten,yes,travellers,Hydra
beheading,yes,Hydra,Heracles and Iolaus
being shot/poison,yes,unspecified,Heracles
being shot/poison,yes,Chiron,Heracles
drowning,yes,Hylas,water nymphs
unspecified,unspecified,Heracles' children,unspecified
illness,yes,humans,Pandora
unspecified,yes,Heracles' nephews,Heracles
being shot,yes,Coronis,Apollo or Artemis
struck by lightning,yes,a man,Zeus
struck by lightning,yes,a man,Zeus
struck by lightning,yes,Asclepius,Zeus
being shot,yes,a cyclops,Apollo
slaying,yes,unspecified,unspecified
burning,yes,unspecified,unspecified
being eaten,yes,humans,Asterion
